make_model,body_type,km,age,Gearing_Type,Fuel,hp_kW,price
Audi A1,Sedans,56013.0,3.0,Automatic,Diesel,66.0,15770
Audi A1,Sedans,80000.0,2.0,Automatic,Benzine,141.0,14500
Audi A1,Sedans,83450.0,3.0,Automatic,Diesel,85.0,14640
Audi A1,Sedans,73000.0,3.0,Automatic,Diesel,66.0,14500
Audi A1,Sedans,16200.0,3.0,Automatic,Diesel,66.0,16790
Audi A1,Sedans,63668.0,3.0,Automatic,Diesel,85.0,15090
Audi A1,Station wagon,62111.0,3.0,Automatic,Diesel,85.0,16422
Audi A1,Compact,14986.0,3.0,Automatic,Diesel,66.0,14480
Audi A1,Sedans,57000.0,3.0,Automatic,Diesel,85.0,16700
Audi A1,Sedans,16103.0,2.0,Automatic,Benzine,70.0,17990
Audi A1,Sedans,11300.0,1.0,Automatic,Diesel,85.0,18500
Audi A1,Sedans,26415.0,3.0,Automatic,Benzine,92.0,17990
Audi A1,Sedans,31600.0,3.0,Automatic,Benzine,92.0,18380
Audi A1,Sedans,45764.0,3.0,Automatic,Benzine,112.0,18399
Audi A1,Sedans,34914.0,3.0,Automatic,Benzine,70.0,17990
Audi A1,Sedans,27000.0,3.0,Automatic,Diesel,85.0,18700
Audi A1,Sedans,9752.0,1.0,Automatic,Diesel,85.0,18900
Audi A1,Sedans,28408.0,2.0,Automatic,Diesel,66.0,18500
Audi A1,Compact,50280.0,3.0,Automatic,Benzine,70.0,18400
Audi A1,Sedans,13406.0,1.0,Automatic,Diesel,85.0,18500
Audi A1,Sedans,51160.0,2.0,Automatic,Diesel,85.0,18500
Audi A1,Sedans,15850.0,3.0,Automatic,Benzine,92.0,18500
Audi A1,Sedans,17000.0,3.0,Automatic,Benzine,92.0,18900
Audi A1,Sedans,9077.0,1.0,Automatic,Diesel,85.0,18850
Audi A1,Sedans,3000.0,1.0,Automatic,Benzine,70.0,18500
Audi A1,Sedans,115000.0,3.0,Manual,Benzine,70.0,8999
Audi A1,Compact,84029.0,3.0,Manual,Benzine,70.0,11444
Audi A1,Sedans,67800.0,3.0,Manual,Benzine,70.0,11300
Audi A1,Sedans,14556.0,1.0,Automatic,Diesel,66.0,18900
Audi A1,Compact,22000.0,3.0,Manual,Benzine,70.0,11290
Audi A1,Compact,38400.0,3.0,Manual,Diesel,66.0,11290
Audi A1,Sedans,83307.0,3.0,Manual,Diesel,66.0,11440
Audi A1,Compact,39668.0,3.0,Manual,Benzine,70.0,11445
Audi A1,Sedans,30353.0,3.0,Manual,Diesel,66.0,11700
Audi A1,Sedans,126000.0,3.0,Manual,Diesel,66.0,11900
Audi A1,Compact,57500.0,3.0,Manual,Benzine,70.0,11949
Audi A1,Sedans,73945.0,3.0,Manual,Benzine,70.0,11890
Audi A1,Sedans,96000.0,2.0,Manual,Diesel,66.0,11600
Audi A1,Sedans,43120.0,3.0,Manual,Benzine,60.0,11900
Audi A1,Compact,110715.0,3.0,Manual,Diesel,66.0,11630
Audi A1,Compact,31971.0,3.0,Manual,Benzine,60.0,11880
Audi A1,Compact,94800.0,3.0,Manual,Diesel,66.0,11800
Audi A1,Compact,85000.0,3.0,Manual,Diesel,66.0,11850
Audi A1,Compact,111265.0,3.0,Manual,Diesel,66.0,11569
Audi A1,Sedans,44120.0,3.0,Manual,Diesel,66.0,11490
Audi A1,Sedans,97976.0,3.0,Manual,Benzine,70.0,11490
Audi A1,Sedans,106000.0,3.0,Manual,Diesel,66.0,11500
Audi A1,Sedans,60000.0,3.0,Manual,Diesel,85.0,11790
